#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Sphingobacterium	0	0	0	0	676.0	0	1017.0	0	0	0	339.0	0	347.0	1014.0	0	0
Deinococcus	0	0	0	0	0	1052.0	526.0	0	0	1577.0	526.0	0	0	0	0	0
Planococcus	0	0	0	0	0	0	0	0	0	0	0	0	274.0	0	667.0	0
Enterococcus	221.0	55201.0	0	0	0	0	0	29.0	0	0	0	0	0	0	0	0
Clostridium	2130.0	0	229976.0	86.0	0	0	0	1195.0	0	0	0	1197.0	2766.0	0	0	0
Peptostreptococcaceae_noname	1315.0	0	92026.0	0	9203.0	1315.0	0	1315.0	0	0	2629.0	2629.0	2629.0	11832.0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	1181.0	624.0	0	0	0	0
Subdoligranulum	0	0	0	0	0	0	373.0	373.0	0	0	0	0	0	373.0	1866.0	0
Megasphaera	0	0	0	0	1450.0	0	725.0	725.0	0	0	0	0	0	0	0	0
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	503.0	503.0	0
Leptotrichiaceae_unclassified	228.0	0	50250.0	0	0	0	245.0	695.0	0	463.0	918.0	0	0	0	0	0
Bartonella	0	0	0	0	794.0	0	794.0	0	0	0	0	0	794.0	0	0	794.0
Paracoccus	0	0	0	0	0	0	0	0	0	153.0	1043.0	0	0	0	147.0	0
Rhodobacteraceae_noname	0	0	0	0	0	0	0	0	730.0	730.0	0	0	0	0	0	0
Pusillimonas	0	0	0	0	0	0	1241.0	0	0	0	1241.0	0	0	0	0	0
Thiomonas	0	0	0	0	0	0	0	1252.0	0	1252.0	2504.0	1252.0	0	0	0	0
Comamonas	0	0	0	0	0	0	0	0	0	899.0	1798.0	0	899.0	0	0	0
Limnohabitans	0	0	0	0	0	0	0	0	0	679.0	1641.0	491.0	0	0	0	0
Polaromonas	0	0	0	0	0	0	0	0	0	1462.0	5527.0	885.0	0	0	0	0
Variovorax	0	0	0	0	0	0	0	0	0	450.0	1319.0	0	0	0	0	0
Hydrogenophilaceae_unclassified	0	0	0	0	0	0	0	0	0	2528.0	4801.0	312.0	0	0	0	0
Thiobacillus	0	0	0	0	0	0	0	0	0	216.0	576.0	216.0	0	0	0	0
Kingella	176.0	0	0	0	0	347.0	0	187.0	0	0	321.0	0	291.0	0	0	0
Neisseria	0	0	0	0	580.0	1152.0	390.0	2318.0	0	402.0	570.0	0	375.0	0	390.0	0
Thauera	0	0	0	0	0	0	0	0	0	3102.0	3105.0	0	0	0	0	0
Marinobacter	0	0	0	0	0	0	0	0	1444.0	10866.0	13465.0	0	0	0	0	0
Spiribacter	0	0	0	0	0	0	0	0	0	578.0	578.0	0	0	0	0	0
Escherichia	4871219.0	5464541.0	8267.0	48331.0	12389.0	25437.0	31009.0	121462.0	1908.0	1272.0	4452.0	0	636.0	0	636.0	0
Pantoea	98026.0	142955.0	0	0	1361.0	0	0	0	0	0	0	0	0	0	0	0
Yersinia	7818.0	11610.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	1968.0	1968.0	5905.0	0	0	5905.0	0	0	0	0	0	0
Actinobacillus	0	0	24195.0	0	0	0	0	2007.0	0	374.0	1830.0	0	0	0	0	0
Acinetobacter	539.0	0	0	0	0	0	0	0	1023.0	0	1715.0	0	1709.0	0	0	0
Psychrobacter	251.0	0	0	0	0	0	0	0	839.0	406.0	2046.0	0	1282.0	0	167.0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	11881.0	26732.0	2970.0	2970.0	0	0	0
Photobacterium	1304.0	1304.0	4345219.0	13926.0	3089.0	9449.0	19856.0	57838.0	0	0	0	0	0	0	0	0
Rhodanobacter	0	0	0	0	0	264.0	0	0	0	423.0	2068.0	0	0	0	0	0
Stenotrophomonas	0	1715.0	0	0	0	0	0	0	0	0	0	0	2898.0	325.0	0	110.0
Thermodesulfobacterium	0	0	0	0	1109.0	111.0	0	0	0	0	0	0	222.0	222.0	0	0
Eimeria	0	0	0	9.0	0	0	0	0	78.0	0	0	129.0	19.0	0	0	69.0
Gammaretrovirus	2.0	0	0	30.0	0	18.0	9.0	30.0	9.0	16.0	5.0	11.0	18.0	9.0	18.0	32.0

